RecipeID,Recipe,Recipe_category,Flavor,Yogurt_culture,Skimmed_milk,Semi_skimmed_milk,Full_fat_milk,Milk_supplier,MPC 70%,MPC 80%,Fruit_prep_40Fruit,Fruit_prep_60Fruit,Fruit_prep_supplier,Added_sugar,Aroma,Flavor_intensity ,sweetness,Fruit_intensity,Chalkiness,Color_intensity,thickness,Coating,Global Appreciation,Fat g/100g,Saturated Fatty Acids SFA g/100g,Protein g/100g,Carb (total sugars) g/100g,Calcium mg/100g,Energy kcal/100g,€/kg min,€/kg max,%Protein_cal,Source_protein,Rich_protein,Source_calcium_us,High_calcium_us,Source_calcium_eu,High_calcium_eu
REC-00023,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,75,0,0,BASF Ingredients,10,0,15,0,WACKER & Co.,0,0,1.26,2,1.74,2.12,2.46,3.14,2.83,2.99,0,0,3.4,13.7,136.2,68.3,0.517,0.9504,19.91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00024,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,75,0,0,BASF Ingredients,10,0,15,0,WACKER & Co.,0,0,1.3,2.03,1.73,1.97,2.46,3.28,2.84,3.06,0,0,3.4,13.7,136.2,68.3,0.517,0.9504,19.91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00025,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,75,0,0,BASF Ingredients,10,0,15,0,WACKER & Co.,0,0,1.35,1.97,1.74,2.02,2.44,3.29,2.6,2.95,0,0,3.4,13.7,136.2,68.3,0.517,0.9504,19.91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00026,Stirred_Plain,Plain,Plain,0.01,75,0,0,BASF Ingredients,20,0,5,0,WACKER & Co.,0,0,0.22,0.34,0.44,3.99,1.79,2.91,2.4,1.61,0,0,3.7,7.6,128.8,45.1,0.649,1.0584,32.82,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00027,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,65,0,0,BASF Ingredients,20,0,15,0,WACKER & Co.,0,0,1.51,2.01,1.75,3.49,2.58,3.48,2.89,2.67,0,0,3.3,13.7,136.2,68.1,0.671,1.0908,19.38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00028,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,65,0,0,BASF Ingredients,20,0,15,0,WACKER & Co.,0,0,1.51,1.97,1.75,2.25,2.55,3.58,2.89,2.95,0,0,3.3,13.7,136.2,68.1,0.671,1.0908,19.38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00029,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,65,0,0,BASF Ingredients,20,0,15,0,WACKER & Co.,0,0,1.17,2.03,1.74,2.48,2.65,3.68,3.03,2.88,0,0,3.3,13.7,136.2,68.1,0.671,1.0908,19.38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00030,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,65,0,0,BASF Ingredients,20,0,15,0,WACKER & Co.,0,0,1.45,1.96,1.75,3.17,2.46,3.56,3.22,2.74,0,0,3.3,13.7,136.2,68.1,0.671,1.0908,19.38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00031,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,65,0,0,BASF Ingredients,20,0,15,0,WACKER & Co.,0,0,1.48,1.97,1.74,3.04,2.43,3.36,2.88,2.7,0,0,3.3,13.7,136.2,68.1,0.671,1.0908,19.38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00032,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,65,0,0,BASF Ingredients,20,0,15,0,WACKER & Co.,0,0,1.16,2.01,1.74,2.98,2.4,3.49,3.27,2.79,0,0,3.3,13.7,136.2,68.1,0.671,1.0908,19.38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00033,Stirred_Plain,Plain,Plain,0.01,75,0,0,BASF Ingredients,10,0,15,0,WACKER & Co.,0,0,1.47,2.02,1.74,2.08,2.67,2.89,2.76,3.05,0,0,3.4,13.7,136.2,68.3,0.517,0.9504,19.91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00034,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,65,0,0,BASF Ingredients,10,0,25,0,WACKER & Co.,0,0,3.43,4.94,3.38,1.63,2.89,3.3,3.12,4.06,0,0,3,19.9,143.8,91.3,0.539,0.9828,13.14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00035,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,65,0,0,BASF Ingredients,10,0,25,0,WACKER & Co.,0,0,3.51,4.93,3.37,1.58,2.82,3.31,3.34,4.13,0,0,3,19.9,143.8,91.3,0.539,0.9828,13.14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00036,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,65,0,0,BASF Ingredients,10,0,25,0,WACKER & Co.,0,0,3.6,4.92,3.37,2.17,2.87,3.22,2.94,3.89,0,0,3,19.9,143.8,91.3,0.539,0.9828,13.14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00037,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,65,0,0,BASF Ingredients,10,0,25,0,WACKER & Co.,0,0,3.46,4.91,3.38,2.06,2.71,3.31,3.29,3.98,0,0,3,19.9,143.8,91.3,0.539,0.9828,13.14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00038,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,65,0,0,BASF Ingredients,10,0,25,0,WACKER & Co.,0,0,3.64,4.96,3.37,2.63,2.89,3.4,3.34,3.81,0,0,3,19.9,143.8,91.3,0.539,0.9828,13.14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00039,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,65,0,0,BASF Ingredients,10,0,25,0,WACKER & Co.,0,0,3.37,4.98,3.38,2.62,3.06,3.52,3.23,3.71,0,0,3,19.9,143.8,91.3,0.539,0.9828,13.14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00040,Stirred_Plain,Plain,Plain,0.01,85,0,0,BASF Ingredients,10,0,0,5,WACKER & Co.,0,0,0.68,0.24,0.54,2.63,2.19,2.77,2.28,1.93,0,0,3.8,6.7,128.8,41.9,0.528,0.972,36.28,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00041,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,75,0,0,BASF Ingredients,10,0,0,15,WACKER & Co.,0,0,1.8,1.15,2.46,2.1,2.97,3.66,3.1,3.08,0,0,3.4,11.2,136.2,58.1,0.605,1.1124,23.41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00042,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,75,0,0,BASF Ingredients,10,0,0,15,WACKER & Co.,0,0,1.84,1.11,2.45,1.31,2.91,3.63,3.08,3.28,0,0,3.4,11.2,136.2,58.1,0.605,1.1124,23.41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00043,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,75,0,0,BASF Ingredients,10,0,0,15,WACKER & Co.,0,0,2.11,1.06,2.44,1.73,2.94,3.54,3.34,3.33,0,0,3.4,11.2,136.2,58.1,0.605,1.1124,23.41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00044,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,75,0,0,BASF Ingredients,10,0,0,15,WACKER & Co.,0,0,1.86,1.07,2.45,1.48,2.98,3.47,3.48,3.39,0,0,3.4,11.2,136.2,58.1,0.605,1.1124,23.41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00045,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,75,0,0,BASF Ingredients,10,0,0,15,WACKER & Co.,0,0,1.87,1.06,2.44,2.78,3.02,3.44,3.43,2.95,0,0,3.4,11.2,136.2,58.1,0.605,1.1124,23.41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00046,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,75,0,0,BASF Ingredients,10,0,0,15,WACKER & Co.,0,0,2.09,1.06,2.44,1.85,2.96,3.72,3.1,3.18,0,0,3.4,11.2,136.2,58.1,0.605,1.1124,23.41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00047,Stirred_Plain,Plain,Plain,0.01,75,0,0,BASF Ingredients,20,0,0,5,WACKER & Co.,0,0,0.58,0.28,0.54,3.6,2.2,3.4,2.43,1.74,0,0,3.7,6.7,128.8,41.7,0.682,1.1124,35.49,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00048,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,65,0,0,BASF Ingredients,20,0,0,15,WACKER & Co.,0,0,1.76,1.1,2.44,3.87,2.89,4.21,3.59,2.58,0,0,3.3,11.2,136.2,57.9,0.759,1.2528,22.8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00049,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,65,0,0,BASF Ingredients,20,0,0,15,WACKER & Co.,0,0,1.98,1.07,2.45,2.32,2.82,3.98,3.51,3.03,0,0,3.3,11.2,136.2,57.9,0.759,1.2528,22.8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00050,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,65,0,0,BASF Ingredients,20,0,0,15,WACKER & Co.,0,0,2.12,1.08,2.45,3.53,2.7,3.91,3.52,2.74,0,0,3.3,11.2,136.2,57.9,0.759,1.2528,22.8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00051,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,65,0,0,BASF Ingredients,20,0,0,15,WACKER & Co.,0,0,1.8,1.09,2.44,2.81,3.04,4.21,3.63,2.78,0,0,3.3,11.2,136.2,57.9,0.759,1.2528,22.8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00052,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,65,0,0,BASF Ingredients,20,0,0,15,WACKER & Co.,0,0,1.99,1.14,2.45,3.52,3.01,4.06,3.77,2.75,0,0,3.3,11.2,136.2,57.9,0.759,1.2528,22.8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00053,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,65,0,0,BASF Ingredients,20,0,0,15,WACKER & Co.,0,0,1.73,1.14,2.44,3.24,3,3.99,3.61,2.73,0,0,3.3,11.2,136.2,57.9,0.759,1.2528,22.8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00054,Stirred_Plain,Plain,Plain,0.01,75,0,0,BASF Ingredients,10,0,0,15,WACKER & Co.,0,0,1.78,1.1,2.44,1.4,2.92,3.75,3.39,3.31,0,0,3.4,11.2,136.2,58.1,0.605,1.1124,23.41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00055,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,65,0,0,BASF Ingredients,10,0,0,25,WACKER & Co.,0,0,4.98,2.42,4.99,1.43,3.37,3.94,3.86,4.26,0,0,3,15.6,143.8,74.3,0.682,1.2528,16.15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00056,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,65,0,0,BASF Ingredients,10,0,0,25,WACKER & Co.,0,0,4.68,2.46,5,1.99,3.24,4.29,3.73,4.1,0,0,3,15.6,143.8,74.3,0.682,1.2528,16.15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00057,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,65,0,0,BASF Ingredients,10,0,0,25,WACKER & Co.,0,0,4.57,2.42,4.99,2.22,3.14,3.99,3.95,4.17,0,0,3,15.6,143.8,74.3,0.682,1.2528,16.15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00058,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,65,0,0,BASF Ingredients,10,0,0,25,WACKER & Co.,0,0,4.52,2.47,4.99,2.07,3.29,4.1,3.9,4.21,0,0,3,15.6,143.8,74.3,0.682,1.2528,16.15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00059,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,65,0,0,BASF Ingredients,10,0,0,25,WACKER & Co.,0,0,5,2.41,4.98,1.82,3.43,3.79,3.78,4.18,0,0,3,15.6,143.8,74.3,0.682,1.2528,16.15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00060,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,65,0,0,BASF Ingredients,10,0,0,25,WACKER & Co.,0,0,4.97,2.48,4.99,1.53,3.32,4.19,3.6,4.16,0,0,3,15.6,143.8,74.3,0.682,1.2528,16.15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00061,Stirred_Plain,Plain,Plain,0.01,98.5,0,0,BASF Ingredients,1.5,0,0,0,DAIRY & Co.,0,0,0.13,0.05,0.01,0.48,0.55,0,0.17,0.86,0,0,4,4.5,125,34,0.32,0.72,47.06,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00062,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,0,0,0.65,0.63,1.03,0.64,3.55,2.03,2.81,2.51,0,0,3.6,9,132.5,50.2,0.39,0.85,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00063,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,0,0,0.66,0.56,1.03,1.58,3.73,1.99,2.96,2.42,0,0,3.6,9,132.5,50.2,0.39,0.85,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00064,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,0,0,0.63,0.61,1.03,1.6,3.73,1.89,2.97,2.4,0,0,3.6,9,132.5,50.2,0.39,0.85,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00065,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,0,0,0.72,0.62,1.02,1.17,3.61,1.86,2.85,2.47,0,0,3.6,9,132.5,50.2,0.39,0.85,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00066,Stirred_Flavored_Strawberry,Flavored,Strawberry,0.01,83.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,5,0.001,0.74,1.38,1.03,1.17,3.82,1.87,3.02,2.67,0,0,3.4,13.7,126.2,68.5,0.42,0.88,19.85,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00067,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,0,0,0.6,0.58,1.02,0,3.41,1.81,3.02,2.33,0,0,3.6,9,132.5,50.2,0.39,0.85,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00068,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,88.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,0,0,0.52,0.64,1.03,0.24,3.69,2.08,3.15,2.49,0,0,3.6,9,132.5,50.2,0.39,0.85,28.69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00069,Stirred_Flavored_Vanilla,Flavored,Vanilla,0.01,83.5,0,0,BASF Ingredients,1.5,0,0,10,DAIRY & Co.,5,0.001,0.51,1.34,1.03,0.6,3.76,1.87,3.22,2.69,0,0,3.4,13.7,126.2,68.5,0.42,0.88,19.85,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00070,Stirred_Plain,Plain,Plain,0.01,75,0,0,BASF Ingredients,25,0,0,0,DAIRY & Co.,0,0,0.15,0.01,0,3.27,0.52,1.21,1.65,0.67,0,0,3.9,4.5,125,33.5,0.65,1.03,46.57,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00071,Stirred_Fruit_Apricot,Fruit_jam,Apricot,0.01,65,0,0,BASF Ingredients,25,0,0,10,DAIRY & Co.,0,0,0.58,0.64,1.02,3.25,3.87,3.24,4.05,2.26,0,0,3.5,9,132.5,49.7,0.72,1.16,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00072,Stirred_Fruit_Pieces_Apricot,Fruit_pieces,Apricot,0.01,65,0,0,BASF Ingredients,25,0,0,10,DAIRY & Co.,0,0,0.7,0.58,1.02,3.11,3.97,3.06,4.04,2.28,0,0,3.5,9,132.5,49.7,0.72,1.16,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00073,Stirred_Fruit_Strawberry,Fruit_jam,Strawberry,0.01,65,0,0,BASF Ingredients,25,0,0,10,DAIRY & Co.,0,0,0.59,0.56,1.02,3.52,3.91,3.09,3.92,2.21,0,0,3.5,9,132.5,49.7,0.72,1.16,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00074,Stirred_Fruit_Pieces_Strawberry,Fruit_pieces,Strawberry,0.01,65,0,0,BASF Ingredients,25,0,0,10,DAIRY & Co.,0,0,0.7,0.56,1.03,3.05,3.97,3.05,4.14,2.28,0,0,3.5,9,132.5,49.7,0.72,1.16,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00075,Stirred_Flavored_Strawberry,Flavored,Strawberry,0.01,65,0,0,BASF Ingredients,16,0,0,10,DAIRY & Co.,9,0.001,0.56,3.06,1.03,2.01,3.61,2.97,3.68,3.26,0,0,3.2,17.5,121.2,82.8,0.65,1.1,15.46,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
REC-00076,Stirred_Fruit_Pear,Fruit_jam,Pear,0.01,65,0,0,BASF Ingredients,25,0,0,10,DAIRY & Co.,0,0,0.63,0.63,1.03,3.38,4.16,3.24,3.89,2.16,0,0,3.5,9,132.5,49.7,0.72,1.16,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00077,Stirred_Fruit_Pieces_Pear,Fruit_pieces,Pear,0.01,65,0,0,BASF Ingredients,25,0,0,10,DAIRY & Co.,0,0,0.64,0.58,1.03,3.54,3.62,3.15,4.19,2.29,0,0,3.5,9,132.5,49.7,0.72,1.16,28.17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
REC-00078,Stirred_Flavored_Vanilla,Flavored,Vanilla,0.01,65,0,0,BASF Ingredients,16,0,0,10,DAIRY & Co.,9,0.001,0.57,3.02,1.03,2.29,3.4,2.79,3.68,3.22,0,0,3.2,17.5,121.2,82.8,0.65,1.1,15.46,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
